,start_type,end_type
6336,PRON,.
6337,DET,.
6338,NOUN,.
6339,NOUN,.
6340,NOUN,.
6341,PRON,.
6342,ADJ,.
6343,DET,.
6344,PRON,.
6345,CONJ,.
6346,VERB,.
6347,DET,.
6348,ADV,.
6349,ADP,.
6350,ADV,.
6351,NOUN,.
6352,DET,.
6353,ADP,.
6354,ADV,.
6355,PRON,.
6356,ADJ,NOUN
6357,ADP,.
6358,DET,.
6359,NOUN,.
6360,NUM,.
6361,.,.
6362,DET,.
6363,ADV,.
6364,DET,.
6365,ADP,.
6366,ADV,.
6367,DET,.
6368,NOUN,.
6369,NOUN,.
6370,CONJ,.
6371,DET,.
6372,ADV,.
6373,ADV,.
6374,DET,.
6375,DET,.
6376,.,.
6377,DET,.
6378,PRON,.
6379,ADP,.
6380,NOUN,.
6381,PRON,.
6382,.,.
6383,ADP,.
6384,ADJ,.
6385,PRON,.
6386,.,.
6387,NOUN,.
6388,ADV,.
6389,ADJ,.
6390,ADJ,.
6391,PRON,.
6392,ADV,.
6393,PRON,.
6394,NOUN,.
6395,PRON,.
6396,PRT,.
6397,CONJ,.
6398,NOUN,.
6399,ADJ,.
6400,NOUN,.
6401,DET,.
6402,ADV,.
6403,DET,.
6404,DET,.
6405,NOUN,.
6406,ADP,.
6407,DET,.
6408,.,.
6409,DET,.
6410,DET,.
6411,ADV,.
6412,.,.
6413,PRON,.
6414,DET,.
6415,VERB,.
6416,ADV,.
6417,PRON,.
6418,PRON,.
6419,.,.
6420,.,.
6421,CONJ,.
6422,NUM,.
6423,ADP,.
6424,PRT,.
6425,PRON,.
6426,CONJ,.
6427,DET,.
6428,ADV,.
6429,ADV,.
6430,ADJ,.
6431,.,.
6432,ADJ,.
6433,NOUN,.
6434,ADP,.
6435,.,.
6436,NOUN,.
6437,NOUN,.
6438,PRON,.
6439,DET,.
6440,DET,.
6441,NOUN,NOUN
6442,PRON,.
6443,NOUN,.
6444,ADP,.
6445,DET,.
6446,PRON,.
6447,DET,.
6448,VERB,.
6449,.,.
6450,DET,.
6451,NOUN,.
6452,ADP,.
6453,PRON,.
6454,DET,.
6455,.,.
6456,ADP,.
6457,ADP,.
6458,DET,.
6459,NOUN,.
6460,DET,.
6461,DET,.
6462,DET,.
6463,CONJ,.
6464,ADV,.
6465,NOUN,.
6466,DET,.
6467,DET,.
6468,VERB,VERB
6469,ADP,.
6470,VERB,.
6471,DET,.
6472,ADP,.
6473,ADV,.
6474,ADV,.
6475,PRT,.
6476,DET,.
6477,PRON,.
6478,PRON,.
6479,PRON,.
6480,DET,.
6481,.,.
6482,DET,.
6483,.,.
6484,ADV,.
6485,PRON,.
6486,ADP,.
6487,DET,NOUN
6488,PRT,.
6489,ADV,.
6490,NUM,.
6491,ADV,.
6492,CONJ,.
6493,VERB,.
6494,PRON,.
6495,.,.
6496,PRT,.
6497,DET,.
6498,PRON,.
6499,ADP,.
6500,DET,.
6501,DET,.
6502,PRON,.
6503,PRON,.
6504,PRON,.
6505,NUM,.
6506,ADV,.
6507,PRON,.
6508,ADV,.
6509,DET,.
6510,VERB,.
6511,.,.
6512,DET,.
6513,.,.
6514,NOUN,.
6515,DET,.
6516,ADP,.
6517,PRON,.
6518,DET,.
6519,ADP,.
6520,ADP,.
6521,NOUN,.
6522,CONJ,.
6523,.,.
6524,PRON,.
6525,NOUN,.
6526,NUM,.
6527,PRON,.
6528,ADP,.
6529,DET,.
6530,DET,.
6531,ADV,.
6532,DET,.
6533,.,.
6534,PRT,.
6535,PRT,.
6536,NOUN,.
6537,ADV,.
6538,ADP,.
6539,PRON,.
6540,ADP,.
6541,PRON,.
6542,VERB,.
6543,ADV,.
6544,DET,.
6545,ADJ,.
6546,VERB,.
6547,.,.
6548,.,.
6549,DET,.
6550,ADV,.
6551,DET,.
6552,NOUN,.
6553,ADJ,.
6554,NOUN,.
6555,NOUN,.
6556,PRON,.
6557,ADP,.
6558,ADV,.
6559,DET,.
6560,PRON,.
6561,NOUN,.
6562,NOUN,.
6563,VERB,.
6564,DET,.
6565,.,.
6566,NOUN,VERB
6567,DET,.
6568,NOUN,.
6569,PRON,.
6570,NOUN,.
6571,DET,.
6572,PRON,.
6573,ADV,.
6574,.,.
6575,PRON,.
6576,DET,.
6577,ADV,.
6578,NUM,.
6579,ADV,.
6580,PRON,.
6581,ADP,.
6582,VERB,.
6583,ADV,.
6584,NOUN,.
6585,NOUN,NOUN
6586,ADV,.
6587,DET,.
6588,DET,.
6589,DET,.
6590,NOUN,.
6591,CONJ,.
6592,NOUN,.
6593,DET,.
6594,DET,.
6595,.,.
6596,.,.
6597,DET,.
6598,DET,.
6599,PRON,.
6600,ADP,.
6601,ADP,.
6602,DET,.
6603,CONJ,.
6604,PRON,.
6605,ADP,.
6606,NOUN,.
6607,.,.
6608,.,.
6609,ADV,.
6610,ADV,.
6611,NOUN,.
6612,NOUN,.
6613,DET,.
6614,PRT,.
6615,CONJ,.
6616,ADP,.
6617,DET,.
6618,NUM,.
6619,NOUN,ADP
6620,.,.
6621,ADV,.
6622,PRON,.
6623,.,.
6624,PRON,.
6625,CONJ,.
6626,NOUN,.
6627,ADV,.
6628,DET,.
6629,VERB,.
6630,NOUN,.
6631,DET,.
6632,DET,.
6633,ADV,.
6634,DET,.
6635,NOUN,.
6636,ADJ,.
6637,NOUN,.
6638,NOUN,.
6639,NOUN,.
6640,PRT,.
6641,CONJ,.
6642,PRON,.
6643,NOUN,.
6644,NOUN,.
6645,DET,.
6646,DET,.
6647,VERB,.
6648,DET,.
6649,PRT,.
6650,PRT,.
6651,NOUN,.
6652,PRT,.
6653,ADP,.
6654,NOUN,.
6655,ADP,.
6656,PRT,.
6657,CONJ,.
6658,ADV,.
6659,ADP,.
6660,CONJ,.
6661,DET,.
6662,.,.
6663,DET,.
6664,NOUN,.
6665,DET,.
6666,DET,.
6667,CONJ,.
6668,CONJ,.
6669,PRON,.
6670,DET,.
6671,NOUN,.
6672,ADV,.
6673,DET,.
6674,NOUN,.
6675,ADP,.
6676,ADP,.
6677,ADV,.
6678,ADP,.
6679,.,.
6680,ADP,.
6681,ADJ,.
6682,.,.
6683,PRON,.
6684,DET,.
6685,PRON,.
6686,ADP,.
6687,DET,.
6688,DET,.
6689,DET,.
6690,PRT,.
6691,DET,.
6692,ADP,.
6693,PRON,.
6694,NOUN,.
6695,NUM,.
6696,ADP,.
6697,ADJ,.
6698,DET,.
6699,ADV,.
6700,PRON,.
6701,ADV,.
6702,DET,.
6703,NOUN,.
6704,NOUN,.
6705,ADP,.
6706,VERB,.
6707,DET,.
6708,ADP,.
6709,NOUN,.
6710,PRON,.
6711,DET,.
6712,DET,.
6713,PRON,.
6714,NUM,.
6715,ADV,.
6716,DET,.
6717,PRON,.
6718,DET,.
6719,NOUN,NOUN
6720,ADP,.
6721,NUM,.
6722,DET,.
6723,PRON,.
6724,PRON,.
6725,ADV,.
6726,ADV,.
6727,DET,.
6728,PRON,.
6729,ADV,.
6730,CONJ,.
6731,CONJ,.
6732,DET,.
6733,PRON,.
6734,DET,.
6735,NOUN,.
6736,PRT,.
6737,ADV,.
6738,ADP,.
6739,DET,.
6740,ADJ,.
6741,PRON,.
6742,NOUN,.
6743,ADP,.
6744,NUM,.
6745,.,.
6746,.,.
6747,PRON,.
6748,ADJ,NOUN
6749,NOUN,.
6750,VERB,.
6751,PRT,.
6752,NOUN,.
6753,PRON,.
6754,PRON,.
6755,PRON,.
6756,PRON,.
6757,DET,.
6758,DET,.
6759,NOUN,.
6760,NOUN,.
6761,.,.
6762,PRON,.
6763,ADP,.
6764,NOUN,.
6765,NOUN,.
6766,NOUN,.
6767,DET,.
6768,ADP,.
6769,ADV,.
6770,ADV,.
6771,PRON,.
6772,CONJ,.
6773,CONJ,.
6774,ADP,.
6775,.,.
6776,NOUN,.
6777,PRON,.
6778,.,.
6779,ADJ,.
6780,.,.
6781,ADV,.
6782,VERB,.
6783,ADJ,.
6784,NUM,.
6785,PRON,.
6786,ADP,.
6787,.,.
6788,.,.
6789,DET,.
6790,PRON,.
6791,ADP,.
6792,DET,.
6793,NOUN,.
6794,CONJ,.
6795,CONJ,.
6796,PRON,.
6797,VERB,NOUN
6798,CONJ,.
6799,.,.
6800,.,.
6801,PRON,.
6802,DET,.
6803,NOUN,.
6804,DET,.
6805,NOUN,.
6806,ADP,.
6807,ADV,.
6808,CONJ,.
6809,ADV,.
6810,DET,.
6811,DET,.
6812,PRT,.
6813,.,.
6814,NOUN,.
6815,DET,.
6816,PRON,.
6817,NUM,.
6818,CONJ,.
6819,NOUN,.
6820,VERB,NOUN
6821,.,.
6822,ADJ,.
6823,.,.
6824,PRON,.
6825,DET,.
6826,ADV,.
6827,DET,.
6828,CONJ,.
6829,PRON,.
6830,NOUN,.
6831,VERB,.
6832,.,.
6833,NOUN,.
6834,NOUN,.
6835,ADP,.
6836,PRON,.
6837,DET,.
6838,DET,.
6839,NOUN,NOUN
6840,PRON,.
6841,.,.
6842,CONJ,.
6843,PRT,.
6844,ADV,.
6845,NOUN,.
6846,NOUN,.
6847,DET,.
6848,DET,.
6849,DET,.
6850,NOUN,.
6851,ADJ,.
6852,ADV,.
6853,DET,.
6854,VERB,.
6855,DET,.
6856,NOUN,.
6857,PRON,.
6858,DET,.
6859,DET,.
6860,DET,.
6861,DET,.
6862,DET,.
6863,DET,.
6864,PRT,.
6865,PRON,.
6866,VERB,.
6867,NOUN,.
6868,NOUN,.
6869,PRON,.
6870,NOUN,.
6871,PRT,.
6872,DET,.
6873,NOUN,.
6874,PRON,.
6875,DET,.
6876,PRON,.
6877,PRON,.
6878,ADV,.
6879,CONJ,.
6880,ADP,.
6881,DET,.
6882,ADP,.
6883,ADP,.
6884,.,.
6885,ADP,.
6886,ADP,.
6887,ADJ,.
6888,.,.
6889,ADP,.
6890,ADV,.
6891,NOUN,.
6892,NOUN,.
6893,CONJ,.
6894,VERB,.
6895,ADP,.
6896,NOUN,.
6897,DET,.
6898,PRT,.
6899,NUM,.
6900,CONJ,.
6901,ADV,.
6902,.,.
6903,.,.
6904,ADV,.
6905,ADP,.
6906,NOUN,.
6907,PRON,.
6908,DET,.
6909,VERB,.
6910,ADV,.
6911,DET,.
6912,DET,.
6913,DET,.
6914,NOUN,.
6915,NOUN,.
6916,ADP,.
6917,ADJ,.
6918,PRON,.
6919,PRON,.
6920,.,.
6921,DET,.
6922,ADV,.
6923,NOUN,.
6924,PRON,.
6925,VERB,.
6926,PRON,.
6927,ADJ,.
6928,DET,.
6929,NOUN,.
6930,ADV,.
6931,PRON,.
6932,NOUN,.
6933,ADJ,.
6934,.,.
6935,ADV,.
6936,DET,.
6937,VERB,.
6938,NOUN,NOUN
6939,ADV,.
6940,ADP,.
6941,VERB,.
6942,.,.
6943,DET,.
6944,ADP,.
6945,DET,.
6946,PRON,.
6947,PRON,.
6948,DET,.
6949,NUM,.
6950,NOUN,.
6951,DET,.
6952,NOUN,.
6953,VERB,.
6954,ADV,.
6955,DET,.
6956,ADP,.
6957,PRON,.
6958,DET,.
6959,ADV,.
6960,.,.
6961,DET,.
6962,ADP,.
6963,DET,.
6964,.,.
6965,PRON,.
6966,NOUN,.
6967,VERB,.
6968,ADJ,.
6969,PRON,.
6970,ADJ,.
6971,DET,.
6972,ADP,.
6973,PRON,.
6974,NOUN,.
6975,ADP,.
6976,.,.
6977,NOUN,.
6978,VERB,.
6979,ADJ,.
6980,ADJ,.
6981,.,.
6982,DET,.
6983,PRON,.
6984,ADP,.
6985,.,.
6986,DET,.
6987,.,.
6988,ADJ,.
6989,ADJ,.
6990,PRON,.
6991,DET,.
6992,PRON,.
6993,ADP,.
6994,DET,.
6995,ADP,.
6996,CONJ,.
6997,.,.
6998,PRON,.
6999,.,.
7000,ADV,.
7001,.,.
7002,PRON,.
7003,VERB,.
7004,DET,.
7005,DET,.
7006,DET,.
7007,DET,.
7008,ADV,.
7009,NOUN,.
7010,ADP,.
7011,CONJ,.
7012,ADP,.
7013,ADP,.
7014,DET,.
7015,NOUN,.
7016,ADJ,.
7017,DET,.
7018,DET,.
7019,PRON,.
7020,.,.
7021,PRT,.
7022,PRON,.
7023,VERB,.
7024,NOUN,.
7025,PRON,.
7026,PRON,.
7027,ADV,.
7028,ADV,.
7029,VERB,.
7030,ADP,.
7031,CONJ,.
7032,ADP,.
7033,ADP,.
7034,DET,.
7035,DET,.
7036,DET,.
7037,ADP,.
7038,DET,.
7039,ADV,.
7040,ADV,.
7041,ADP,.
7042,ADV,.
7043,ADP,.
7044,ADP,.
7045,NOUN,.
7046,DET,.
7047,ADP,.
7048,ADV,.
7049,ADP,.
7050,ADJ,.
7051,NOUN,.
7052,ADV,.
7053,ADJ,.
7054,NOUN,.
7055,PRON,.
7056,NOUN,.
7057,ADV,.
7058,NOUN,PRT
7059,DET,.
7060,.,.
7061,DET,.
7062,DET,.
7063,DET,.
7064,ADV,.
7065,NOUN,.
7066,VERB,.
7067,ADP,.
7068,CONJ,.
7069,PRON,.
7070,ADP,NOUN
7071,VERB,.
7072,ADP,.
7073,DET,.
7074,DET,.
7075,PRON,.
7076,DET,.
7077,DET,.
7078,DET,.
7079,NOUN,NOUN
7080,ADV,.
7081,NOUN,.
7082,ADV,.
7083,.,.
7084,ADV,.
7085,VERB,.
7086,VERB,.
7087,.,.
7088,NOUN,.
7089,NOUN,.
7090,VERB,.
7091,DET,.
7092,.,.
7093,ADV,.
7094,PRT,.
7095,.,.
7096,ADV,.
7097,PRON,.
7098,ADP,.
7099,PRON,.
7100,VERB,.
7101,PRON,.
7102,ADV,.
7103,ADV,.
7104,DET,.
7105,PRON,.
7106,ADP,.
7107,ADJ,.
7108,NUM,.
7109,NOUN,.
7110,CONJ,.
7111,DET,.
7112,.,.
7113,NOUN,.
7114,ADV,.
7115,CONJ,.
7116,PRON,.
7117,NOUN,.
7118,NOUN,.
7119,.,.
7120,.,.
7121,DET,.
7122,NOUN,.
7123,VERB,.
7124,NOUN,.
7125,PRON,.
7126,CONJ,.
7127,CONJ,.
7128,PRT,.
7129,DET,.
7130,VERB,.
7131,DET,.
7132,NUM,.
7133,.,.
7134,DET,.
7135,DET,.
7136,NOUN,.
7137,DET,.
7138,.,.
7139,DET,.
7140,DET,.
7141,DET,.
7142,DET,.
7143,DET,.
7144,ADP,.
7145,NOUN,.
7146,CONJ,.
7147,PRON,.
7148,PRON,.
7149,NOUN,.
7150,NOUN,.
7151,ADP,.
7152,NOUN,.
7153,ADP,.
7154,DET,.
7155,DET,.
7156,PRT,.
7157,NOUN,NOUN
7158,NUM,.
7159,ADV,.
7160,NUM,.
7161,DET,.
7162,.,.
7163,NOUN,.
7164,PRON,.
7165,CONJ,.
7166,DET,.
7167,.,.
7168,ADV,.
7169,VERB,VERB
7170,NOUN,.
7171,DET,.
7172,PRON,.
7173,DET,.
7174,VERB,.
7175,PRON,.
7176,PRON,.
7177,DET,.
7178,ADP,.
7179,NOUN,.
7180,DET,.
7181,PRT,.
7182,.,.
7183,DET,.
7184,CONJ,.
7185,PRON,.
7186,PRT,.
7187,ADP,.
7188,ADV,.
7189,.,.
7190,PRON,.
7191,NOUN,NOUN
7192,DET,.
7193,CONJ,.
7194,PRON,.
7195,PRON,.
7196,DET,.
7197,DET,.
7198,PRT,.
7199,DET,.
7200,PRON,.
7201,PRT,.
7202,ADP,.
7203,DET,.
7204,DET,.
7205,ADV,.
7206,ADP,.
7207,.,.
7208,ADV,.
7209,PRON,.
7210,ADP,.
7211,PRON,.
7212,NUM,.
7213,ADP,.
7214,ADJ,.
7215,ADV,.
7216,ADV,.
7217,ADP,.
7218,NOUN,.
7219,NOUN,.
7220,ADV,.
7221,NOUN,.
7222,NOUN,.
7223,NOUN,.
7224,DET,.
7225,ADV,.
7226,.,.
7227,DET,.
7228,NOUN,.
7229,DET,.
7230,DET,NOUN
7231,ADV,.
7232,DET,.
7233,PRON,.
7234,ADV,.
7235,ADP,.
7236,.,.
7237,ADV,.
7238,PRT,.
7239,.,.
7240,PRON,.
7241,NOUN,.
7242,.,.
7243,ADV,.
7244,ADP,.
7245,NUM,.
7246,DET,.
7247,NOUN,.
7248,NUM,.
7249,ADP,.
7250,ADV,.
7251,DET,NOUN
7252,NOUN,.
7253,CONJ,.
7254,PRON,.
7255,ADV,.
7256,ADV,.
7257,DET,.
7258,ADP,.
7259,ADV,.
7260,CONJ,.
7261,DET,.
7262,ADV,.
7263,VERB,.
7264,NOUN,.
7265,ADP,.
7266,PRON,.
7267,.,.
7268,PRON,.
7269,ADP,.
7270,NOUN,.
7271,NOUN,.
7272,DET,.
7273,DET,.
7274,PRON,.
7275,PRON,.
7276,VERB,.
7277,ADP,.
7278,NOUN,.
7279,NOUN,.
7280,ADP,.
7281,DET,.
7282,.,.
7283,DET,.
7284,VERB,.
7285,PRON,.
7286,.,.
7287,ADJ,.
7288,CONJ,.
7289,CONJ,.
7290,NOUN,.
7291,NOUN,NUM
7292,VERB,.
7293,DET,.
7294,ADV,.
7295,.,.
7296,NOUN,.
7297,NOUN,.
7298,ADV,.
7299,PRT,.
7300,PRON,.
7301,PRON,.
7302,PRT,.
7303,.,.
7304,CONJ,.
7305,.,.
7306,NOUN,.
7307,DET,.
7308,.,.
7309,ADV,.
7310,ADV,.
7311,ADJ,.
7312,DET,.
7313,NOUN,.
7314,DET,.
7315,CONJ,.
7316,ADJ,.
7317,PRT,.
7318,PRON,.
7319,DET,.
7320,.,.
7321,DET,.
7322,DET,.
7323,DET,.
7324,PRON,.
7325,DET,.
7326,.,.
7327,DET,.
7328,PRT,.
7329,CONJ,.
7330,DET,.
7331,PRON,.
7332,.,.
7333,PRON,.
7334,NUM,.
7335,ADP,.
7336,PRON,.
7337,PRON,.
7338,.,.
7339,DET,.
7340,CONJ,.
7341,VERB,.
7342,DET,.
7343,ADP,.
7344,DET,.
7345,PRON,.
7346,PRON,.
7347,DET,.
7348,ADP,.
7349,ADP,.
7350,ADV,.
7351,DET,.
7352,ADV,.
7353,DET,.
7354,PRON,.
7355,NOUN,.
7356,ADV,.
7357,VERB,.
7358,DET,.
7359,CONJ,.
7360,ADJ,.
7361,NOUN,.
7362,NOUN,NOUN
7363,.,.
7364,CONJ,.
7365,ADV,.
7366,PRON,.
7367,DET,.
7368,NOUN,.
7369,CONJ,.
7370,DET,.
7371,ADV,.
7372,ADJ,.
7373,DET,.
7374,.,.
7375,NOUN,.
7376,PRON,.
7377,ADV,.
7378,ADP,.
7379,ADJ,.
7380,NOUN,.
7381,PRT,.
7382,ADV,.
7383,PRT,.
7384,PRON,.
7385,.,.
7386,VERB,.
7387,CONJ,.
7388,ADP,.
7389,ADP,.
7390,NOUN,NOUN
7391,ADP,.
7392,ADV,.
7393,NOUN,NUM
7394,DET,.
7395,PRON,.
7396,CONJ,.
7397,ADP,.
7398,.,.
7399,DET,.
7400,.,.
7401,NOUN,.
7402,DET,.
7403,ADV,.
7404,NOUN,.
7405,VERB,.
7406,ADP,.
7407,.,.
7408,DET,.
7409,PRON,.
7410,ADP,.
7411,NOUN,.
7412,ADP,.
7413,ADJ,.
7414,DET,.
7415,DET,.
7416,NOUN,.
7417,ADP,.
7418,DET,.
7419,ADV,.
7420,VERB,.
7421,NOUN,.
7422,DET,.
7423,NOUN,.
7424,DET,.
7425,ADP,.
7426,ADP,.
7427,.,.
7428,ADV,.
7429,DET,.
7430,ADV,.
7431,PRON,.
7432,.,.
7433,NOUN,.
7434,VERB,.
7435,ADP,.
7436,ADV,.
7437,ADV,.
7438,ADV,.
7439,DET,.
7440,ADV,.
7441,ADP,.
7442,ADV,.
7443,PRT,.
7444,DET,.
7445,ADP,.
7446,NOUN,.
7447,NOUN,.
7448,DET,.
7449,PRON,.
7450,ADP,.
7451,ADP,.
7452,CONJ,.
7453,NOUN,.
7454,NOUN,.
7455,PRON,.
7456,NOUN,NUM
7457,DET,.
7458,DET,.
7459,CONJ,.
7460,NOUN,.
7461,PRT,.
7462,DET,.
7463,NOUN,.
7464,DET,.
7465,CONJ,.
7466,NOUN,.
7467,ADV,.
7468,DET,.
7469,.,.
7470,PRON,.
7471,.,.
7472,DET,.
7473,CONJ,.
7474,PRON,.
7475,PRON,.
7476,NOUN,.
7477,PRON,.
7478,ADP,.
7479,DET,.
7480,PRON,.
7481,CONJ,.
7482,NOUN,NOUN
7483,ADV,.
7484,DET,.
7485,DET,.
7486,NUM,.
7487,.,.
7488,ADP,.
7489,DET,.
7490,ADJ,NOUN
7491,ADP,.
7492,CONJ,.
7493,DET,.
7494,PRON,.
7495,ADV,.
7496,ADP,.
7497,NOUN,.
7498,DET,.
7499,NOUN,.
7500,DET,.
7501,DET,.
7502,ADV,.
7503,DET,.
7504,ADV,.
7505,.,.
7506,PRON,.
7507,PRON,.
7508,ADV,.
7509,DET,.
7510,ADP,.
7511,ADP,.
7512,NOUN,.
7513,DET,.
7514,DET,.
7515,PRON,.
7516,DET,.
7517,ADP,.
7518,PRON,.
7519,NOUN,.
7520,PRT,.
7521,ADV,.
7522,PRON,.
7523,.,.
7524,NOUN,.
7525,ADP,.
7526,PRON,.
7527,NOUN,.
7528,ADP,.
7529,PRT,.
7530,ADP,.
7531,NOUN,.
7532,CONJ,.
7533,PRON,.
7534,PRON,.
7535,ADP,.
7536,PRT,.
7537,DET,.
7538,VERB,.
7539,ADP,.
7540,ADV,.
7541,PRON,.
7542,ADJ,.
7543,.,.
7544,DET,.
7545,ADP,.
7546,VERB,NOUN
7547,ADJ,.
7548,ADV,.
7549,CONJ,.
7550,NOUN,.
7551,ADV,.
7552,ADP,.
7553,ADP,.
7554,.,.
7555,DET,.
7556,DET,.
7557,NOUN,.
7558,PRON,.
7559,DET,.
7560,ADV,.
7561,ADJ,.
7562,ADV,.
7563,PRON,.
7564,PRON,.
7565,ADP,.
7566,.,.
7567,DET,.
7568,NOUN,.
7569,ADP,.
7570,DET,.
7571,ADJ,.
7572,DET,.
7573,ADJ,.
7574,DET,.
7575,PRON,.
7576,ADP,.
7577,NOUN,.
7578,PRON,.
7579,NOUN,.
7580,CONJ,.
7581,ADP,.
7582,.,.
7583,ADV,.
7584,ADP,.
7585,ADV,.
7586,DET,.
7587,PRON,.
7588,ADJ,.
7589,DET,.
7590,VERB,.
7591,ADV,.
7592,NOUN,VERB
7593,NOUN,.
7594,DET,.
7595,VERB,.
7596,ADV,.
7597,DET,.
7598,PRON,.
7599,ADP,.
7600,.,.
7601,ADP,.
7602,ADP,.
7603,ADV,.
7604,.,.
7605,VERB,.
7606,NOUN,.
7607,DET,.
7608,ADV,.
7609,.,.
7610,PRON,.
7611,DET,.
7612,PRON,.
7613,DET,.
7614,NOUN,.
7615,DET,.
7616,PRON,.
7617,PRON,.
7618,CONJ,.
7619,ADP,.
7620,ADV,.
7621,ADV,.
7622,.,.
7623,VERB,.
7624,NOUN,.
7625,ADV,.
7626,PRT,.
7627,ADP,.
7628,PRON,.
7629,ADP,.
7630,CONJ,.
7631,ADV,.
7632,VERB,.
7633,ADP,.
7634,DET,.
7635,ADV,.
7636,ADP,.
7637,.,.
7638,.,.
7639,PRON,.
7640,VERB,.
7641,PRON,.
7642,ADP,.
7643,DET,.
7644,CONJ,.
7645,.,.
7646,ADP,.
7647,VERB,.
7648,ADV,.
7649,PRT,.
7650,.,.
7651,NOUN,.
7652,CONJ,.
7653,NOUN,NOUN
7654,VERB,.
7655,PRON,.
7656,ADP,.
7657,ADV,.
7658,CONJ,.
7659,NOUN,NOUN
7660,DET,.
7661,DET,.
7662,NOUN,.
7663,PRON,.
7664,PRT,.
7665,ADP,.
7666,PRON,.
7667,DET,.
7668,PRON,.
7669,CONJ,.
7670,ADV,.
7671,ADV,.
7672,DET,.
7673,PRT,.
7674,CONJ,.
7675,PRT,.
7676,PRON,.
7677,PRON,.
7678,PRON,.
7679,NUM,.
7680,CONJ,.
7681,DET,.
7682,DET,.
7683,DET,.
7684,VERB,.
7685,PRON,.
7686,DET,.
7687,NOUN,.
7688,ADP,.
7689,ADV,.
7690,DET,.
7691,NOUN,.
7692,DET,.
7693,ADV,.
7694,.,.
7695,NOUN,.
7696,CONJ,.
7697,NOUN,.
7698,ADV,.
7699,DET,.
7700,PRT,.
7701,PRON,.
7702,ADV,.
7703,VERB,.
7704,.,.
7705,VERB,.
7706,PRON,.
7707,DET,.
7708,NOUN,.
7709,ADV,.
7710,ADV,.
7711,DET,.
7712,DET,.
7713,ADP,.
7714,NOUN,.
7715,ADP,.
7716,DET,.
7717,.,.
7718,.,.
7719,DET,.
7720,DET,.
7721,.,.
7722,DET,.
7723,PRON,.
7724,.,.
7725,DET,.
7726,PRT,.
7727,ADV,.
7728,PRT,.
7729,ADP,.
7730,PRON,.
7731,PRON,.
7732,VERB,.
7733,DET,.
7734,DET,.
7735,ADP,.
7736,NOUN,.
7737,ADV,.
7738,PRT,.
7739,DET,.
7740,VERB,.
7741,DET,.
7742,PRT,.
7743,ADV,.
7744,DET,.
7745,ADJ,.
7746,DET,.
7747,ADV,.
7748,ADP,.
7749,DET,.
7750,CONJ,.
7751,DET,.
7752,PRON,.
7753,ADV,.
7754,NOUN,.
7755,NOUN,.
7756,.,.
7757,DET,.
7758,PRON,.
7759,ADV,.
7760,NUM,.
7761,ADP,.
7762,X,.
7763,DET,.
7764,DET,.
7765,PRON,.
7766,DET,.
7767,.,.
7768,.,.
7769,NOUN,.
7770,NUM,.
7771,.,.
7772,ADV,.
7773,PRON,.
7774,ADP,.
7775,.,.
7776,.,.
7777,ADP,.
7778,.,.
7779,VERB,NOUN
7780,DET,.
7781,PRON,.
7782,PRON,.
7783,DET,.
7784,CONJ,.
7785,ADP,.
7786,.,.
7787,.,.
7788,DET,.
7789,PRON,.
7790,NOUN,.
7791,PRON,.
7792,DET,.
7793,DET,.
7794,DET,.
7795,ADP,.
7796,.,.
7797,NOUN,.
7798,NOUN,.
7799,VERB,.
7800,DET,.
7801,PRON,.
7802,NOUN,.
7803,DET,.
7804,DET,.
7805,PRON,.
7806,ADJ,.
7807,ADP,.
7808,.,.
7809,ADJ,.
7810,ADP,.
7811,ADV,ADV
7812,NOUN,.
7813,PRON,.
7814,ADP,.
7815,NOUN,.
7816,DET,.
7817,DET,.
7818,DET,.
7819,.,.
7820,ADP,.
7821,PRON,.
7822,ADP,.
7823,PRON,.
7824,PRT,.
7825,ADJ,.
7826,ADV,.
7827,NUM,.
7828,.,.
7829,PRON,.
7830,CONJ,.
7831,CONJ,.
7832,PRON,.
7833,DET,.
7834,ADP,.
7835,PRT,.
7836,NOUN,.
7837,ADJ,NOUN
7838,DET,.
7839,DET,.
7840,NOUN,.
7841,DET,.
7842,ADP,.
7843,ADP,.
7844,ADP,.
7845,ADP,.
7846,ADV,.
7847,NOUN,.
7848,PRON,.
7849,NOUN,.
7850,PRON,.
7851,ADV,.
7852,ADJ,.
7853,PRON,.
7854,CONJ,.
7855,DET,.
7856,DET,.
7857,X,.
7858,NOUN,NOUN
7859,PRT,.
7860,PRON,.
7861,PRT,.
7862,PRON,.
7863,.,.
7864,NOUN,.
7865,PRON,.
7866,ADP,.
7867,DET,.
7868,NOUN,.
7869,ADJ,.
7870,CONJ,.
7871,ADP,.
7872,DET,.
7873,DET,.
7874,DET,.
7875,ADP,.
7876,ADV,.
7877,PRON,.
7878,ADP,.
7879,NOUN,.
7880,.,.
7881,PRON,.
7882,ADV,.
7883,VERB,.
7884,DET,.
7885,NOUN,.
7886,PRON,.
7887,.,.
7888,ADP,.
7889,NOUN,.
7890,.,.
7891,NOUN,.
7892,NOUN,.
7893,PRT,.
7894,DET,.
7895,PRON,.
7896,DET,.
7897,ADP,.
7898,NOUN,.
7899,VERB,.
7900,DET,.
7901,PRON,.
7902,DET,.
7903,PRON,.
7904,VERB,.
7905,DET,.
7906,ADP,.
7907,NOUN,.
7908,DET,.
